PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
58,3/15/22,,6,7,Maddie Mcpherson,,Left,Nc state,Logan Calhoun,,Left,Troy,,2,Top,1,3,2,Dropball,1,StrikeSwinging,Strikeout,,Out,1,0,,68.69815176,4.100743708,-1.160428487,,,,1.247695757,0.835922224,6,,,,1.70481153,0.115143822,63.41840676,-2.909543885,-1.160428487,,53.47771976,-8.83371104,-51.9078697,,,,,9.580881769,,-50.19049798,0.110670934,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,ac48f047-a485-11ec-89bd-a178d1643b34,68.7952138,1.244618552,0.835922224,4.154210106,-1.160428487,63.4884539,1.707341637,0.115143822,-2.853727811,-1.160428487,0.367989371,,,,,,,,,,,-41.5887827,32.60054778,-8.212426487,-0.325183261,0.892749115,1.613803725,-7.359816427,6.134035998,,,,,,,,,,0,,22.79005664,low,high,,,37
59,3/15/22,,6,6,Maddie Mcpherson,,Left,Nc state,Logan Calhoun,,Left,Troy,,2,Top,1,3,2,Riseball,4,Foul,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,c5e3fc4f-5c00-48f8-9b98-a99e4a3a4cba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3/15/22,,7,1,Maddie Mcpherson,,Left,Nc state,Jade Sinness,,Left,Troy,,2,Top,2,0,0,Riseball,4,StrikeCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,6e4a5fda-1395-4d5c-872c-77a2f3e46156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3/15/22,,8,1,Maddie Mcpherson,,Left,Nc state,Kelly Horne,,Right,Troy,,2,Top,2,0,0,Riseball,3,BallCalled,,,,0,0,,68.73394291,6.045671879,-0.476507427,,,,1.18210988,0.542219575,6,,,,2.846439871,0.246279566,63.18406958,-0.986205749,-0.476507427,,70.29620688,4.080342738,-40.38788404,2482.935961,,,,73.93423232,,-44.11204082,0.776737931,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,daccb4a3-a485-11ec-bf21-bd5f0f39ff30,68.83557985,1.179035758,0.542219575,6.098894092,-0.476507427,63.25809745,2.848993012,0.246279566,-0.929741558,-0.476507427,0.368854962,,,,,,,,,,,-45.43359403,53.40716994,5.001943065,-0.50898913,1.483123353,2.852485119,-51.46293507,53.08330267,-6.866753353,0.182997333,0.061845033,0.203552799,0.083277797,0.975515795,,,,0,0.969689677,37.53307263,low,high,,,37
62,3/15/22,,7,2,Maddie Mcpherson,,Left,Nc state,Jade Sinness,,Left,Troy,,2,Top,2,0,1,Dropball,1,InPlay,,,Double,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,8ceea1e0-db0f-4174-a509-8e80e2fae9aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3/15/22,,8,2,Maddie Mcpherson,,Left,Nc state,Kelly Horne,,Right,Troy,,2,Top,2,1,0,Changeup,2,BallCalled,,,,0,0,,62.43966376,5.875745791,-5.297731342,1873.589113,211.3154256,1:00,0.732705845,1.526502794,6,-24.60044318,7.693195625,3.952830348,2.3603351,-1.443639622,56.95023072,-0.97139177,-4.197326284,0.409006316,,,,,,,,,,,,-6.58646017,6.786631449,-2.77128311,50,-0.855636287,9.205278534,-93.27063115,13.10353778,-5.619705133,18.13396461,-26.38355414,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,f76cc311-a485-11ec-9676-71a7d2b5b5bc,62.55802589,0.730613244,1.52502975,5.911438958,-5.271479267,57.04061014,2.362353433,-1.442669642,-0.92638055,-4.176454901,0.408888812,3.784827732,6.406867081,57.57947284,30.83124034,1004.485921,1581.563846,53.61292475,-0.458025365,0.844135907,-0.278652714,,,,,,,,,,,,,,,,,0.828842619,0,,,medium,high,117.7481163,-4.618260541,37
64,3/15/22,,8,3,Maddie Mcpherson,,Left,Nc state,Kelly Horne,,Right,Troy,,2,Top,2,2,0,Fastball,2,BallCalled,,,,0,0,,68.52391236,2.965913624,-1.080153552,,,,1.25801074,0.195431492,6,,,,1.001694098,-0.475473385,63.41143722,-4.063934844,-1.080153552,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,0840b259-a486-11ec-aca0-95a657638de1,68.61696298,1.255022843,0.195431492,3.01909385,-1.080153552,63.47966021,1.004247321,-0.475473385,-4.007696538,-1.080153552,0.368470135,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
65,3/15/22,,8,4,Maddie Mcpherson,,Left,Nc state,Kelly Horne,,Right,Troy,,2,Top,2,3,0,Riseball,3,BallCalled,Walk,,,0,0,,68.98123346,6.102225407,-2.275011135,,,,1.412662065,0.640798637,6,,,,3.126467141,-0.772831654,63.39741551,-0.88690945,-2.275011135,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,21d163d4-a486-11ec-ae95-07424595a602,69.08247834,1.409684258,0.640798637,6.154635022,-2.275011135,63.4726061,3.129034506,-0.772831654,-0.830282782,-2.275011135,0.367864544,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
66,3/15/22,,9,2,Maddie Mcpherson,,Left,Nc state,Libby Baker,,Right,Troy,,2,Top,2,0,1,Dropball,3,BallCalled,,,,0,0,,62.03860942,6.950974438,-0.468226465,1789.926003,222.1944108,1:30,0.850517519,0.708725697,6,-25.11409935,7.529197821,4.685539799,3.096001685,0.808390568,56.42415125,-0.062575288,0.846664845,0.411214606,,,,,,,,,,,,-5.648554611,6.131058331,-0.861449454,50,-0.983595916,1.414699883,-92.93073963,14.84218545,-4.768664101,18.41334964,-26.99804266,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,3bdb8fb8-a486-11ec-a6d4-d17142e07ca3,62.15692179,0.848334603,0.707758385,6.988379599,-0.450558877,56.51477071,3.098121878,0.808998603,-0.015328103,0.859667675,0.411099223,4.572766815,6.148887231,58.21134116,53.79128264,942.9107325,1521.43171,52.67875493,-0.390281155,0.849996987,-0.353815973,,,,,,,,,,,,,,,,,0.96607517,0,,,medium,high,41.58784562,-62.88314135,37
67,3/15/22,,9,1,Maddie Mcpherson,,Left,Nc state,Libby Baker,,Right,Troy,,2,Top,2,0,0,Dropball,2,StrikeSwinging,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,b32b6bc6-d261-4918-a4e4-6150a65aeacd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
