GameID,HalfInning,RunScored,StrikeCalled,BallCalled,Foul,StrikeSwinging,Out,Error,HitByPitch,Sacrifice,FoulTip,FieldersChoice,Single,Double,Triple,HomeRun
1c705a50-ff0e-4347-9662-8e1cac65d7f9,bottom6,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1c705a50-ff0e-4347-9662-8e1cac65d7f9,top6,0.0,0,2,3,2,2,0,0,0,0,0,0,0,0,0
6cf3748d-526c-4bf0-99c4-84c418c83c3c,bottom1,1.0,5,2,2,0,3,0,0,0,0,0,1,0,0,1
6cf3748d-526c-4bf0-99c4-84c418c83c3c,top1,1.0,7,5,5,1,1,1,0,0,0,0,1,0,0,0
6cf3748d-526c-4bf0-99c4-84c418c83c3c,bottom2,1.0,2,8,2,0,3,0,0,0,0,0,1,1,0,0
6cf3748d-526c-4bf0-99c4-84c418c83c3c,top2,0.0,2,5,7,4,0,0,0,0,0,0,0,0,0,0
6cf3748d-526c-4bf0-99c4-84c418c83c3c,bottom3,1.0,1,5,2,0,3,0,0,0,0,0,2,0,0,0
6cf3748d-526c-4bf0-99c4-84c418c83c3c,top3,0.0,1,10,1,5,2,0,0,0,0,0,0,0,0,0
6cf3748d-526c-4bf0-99c4-84c418c83c3c,bottom4,4.0,6,12,2,2,3,1,0,0,0,0,1,1,0,1
6cf3748d-526c-4bf0-99c4-84c418c83c3c,top4,0.0,1,7,8,5,1,0,0,0,0,0,0,0,0,0
6cf3748d-526c-4bf0-99c4-84c418c83c3c,bottom5,3.0,0,3,2,1,1,0,0,0,0,0,1,0,0,2
6cf3748d-526c-4bf0-99c4-84c418c83c3c,top5,1.0,2,5,1,0,2,2,0,0,0,0,0,0,0,0
febfd501-caf3-4672-97af-d135e615349a,bottom1,0.0,5,5,2,1,2,0,0,0,0,0,0,0,0,0
febfd501-caf3-4672-97af-d135e615349a,top1,0.0,3,5,2,1,2,0,0,0,0,0,0,0,0,0
febfd501-caf3-4672-97af-d135e615349a,bottom2,0.0,2,4,1,2,1,0,0,0,0,0,2,0,0,0
febfd501-caf3-4672-97af-d135e615349a,top2,0.0,0,11,5,1,2,0,0,0,0,0,0,0,0,0
febfd501-caf3-4672-97af-d135e615349a,bottom3,0.0,2,1,2,0,3,0,0,0,0,0,0,0,0,0
febfd501-caf3-4672-97af-d135e615349a,top3,0.0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
febfd501-caf3-4672-97af-d135e615349a,bottom4,0.0,2,7,5,0,3,0,0,0,0,0,0,0,0,0
febfd501-caf3-4672-97af-d135e615349a,top4,0.0,1,1,1,4,2,0,0,0,0,0,0,0,0,0
febfd501-caf3-4672-97af-d135e615349a,bottom5,0.0,3,5,1,0,2,0,0,0,0,0,0,0,0,0
febfd501-caf3-4672-97af-d135e615349a,top5,0.0,0,3,4,3,3,0,0,0,0,0,1,0,0,0
febfd501-caf3-4672-97af-d135e615349a,bottom6,4.0,1,5,2,1,3,0,0,0,0,0,1,1,1,1
febfd501-caf3-4672-97af-d135e615349a,top6,0.0,4,3,8,2,2,0,0,0,0,0,2,0,0,0
febfd501-caf3-4672-97af-d135e615349a,bottom7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
febfd501-caf3-4672-97af-d135e615349a,top7,3.0,5,6,7,2,1,0,1,0,0,0,2,1,0,0
367204aa-c278-4945-bee1-9fd4513efaec,bottom1,1.0,4,6,2,2,3,0,0,0,0,0,0,1,0,1
367204aa-c278-4945-bee1-9fd4513efaec,top1,3.0,3,13,14,1,3,0,0,0,0,0,1,0,0,1
367204aa-c278-4945-bee1-9fd4513efaec,bottom2,1.0,2,6,2,2,1,0,0,0,0,0,1,0,0,1
367204aa-c278-4945-bee1-9fd4513efaec,top2,0.0,3,2,2,0,3,0,0,0,0,0,0,0,0,0
367204aa-c278-4945-bee1-9fd4513efaec,bottom3,2.0,1,6,2,0,2,0,0,0,0,0,1,0,0,2
367204aa-c278-4945-bee1-9fd4513efaec,top3,0.0,1,1,0,0,3,0,0,0,0,0,0,0,0,0
367204aa-c278-4945-bee1-9fd4513efaec,bottom4,1.0,4,6,4,1,3,0,0,0,0,0,2,0,0,0
367204aa-c278-4945-bee1-9fd4513efaec,top4,0.0,1,2,3,4,1,0,0,0,0,0,0,0,0,0
367204aa-c278-4945-bee1-9fd4513efaec,bottom5,1.0,4,17,6,3,1,0,0,0,0,0,1,0,0,0
367204aa-c278-4945-bee1-9fd4513efaec,top5,0.0,3,6,6,0,2,0,0,0,0,0,3,0,0,0
367204aa-c278-4945-bee1-9fd4513efaec,bottom6,0.0,6,10,1,0,1,0,0,0,0,0,1,1,0,0
367204aa-c278-4945-bee1-9fd4513efaec,top6,1.0,1,7,4,0,3,0,0,0,0,0,1,0,0,0
367204aa-c278-4945-bee1-9fd4513efaec,bottom7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367204aa-c278-4945-bee1-9fd4513efaec,top7,0.0,3,7,1,2,2,0,0,0,0,0,0,0,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,bottom1,3.0,2,7,2,0,2,0,2,0,0,0,2,2,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,top1,0.0,2,4,0,0,3,0,0,0,0,0,0,0,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,bottom2,0.0,3,7,2,1,2,0,0,0,0,0,2,0,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,top2,0.0,3,8,4,3,2,0,0,0,0,0,1,0,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,bottom3,0.0,3,3,1,1,3,0,0,0,0,0,1,0,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,top3,0.0,2,3,0,0,3,0,0,0,0,0,0,0,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,bottom4,0.0,4,6,2,0,3,0,0,0,0,0,0,0,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,top4,0.0,1,4,1,0,3,0,0,0,0,0,0,0,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,bottom5,0.0,3,12,2,1,2,0,0,0,0,0,0,0,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,top5,0.0,2,5,6,0,3,0,1,0,0,0,0,0,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,bottom6,1.0,5,12,1,1,3,0,0,0,0,0,3,0,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,top6,2.0,2,10,1,0,3,0,0,0,0,0,3,1,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,bottom7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0245a6a-8dc3-42b5-a0d1-88fed927f134,top7,0.0,2,4,1,3,2,0,0,0,0,0,0,0,0,0
a3adfbd8-ca83-410f-8fc9-23de1f264219,bottom1,1.0,4,7,3,1,2,0,0,0,0,0,1,0,0,0
